AACC,20130520,6.63,6.66,6.61,6.64,34000
AAIT,20130520,29.9,30,29.9,29.95,3600
AAME,20130520,3.71,3.79,3.63,3.63,11900
AAON,20130520,31.69,32.33,31.53,32.16,60100
AAPL,20130520,431.91,445.8,430.1,442.93,16127700
AAWW,20130520,46,46.8,45.64,46.3,191300
AAXJ,20130520,61.17,61.28,61.02,61.28,329000
ABAX,20130520,45.13,45.42,44.59,44.67,81200
ABCB,20130520,16.3,16.45,16.12,16.44,17500
ABCD,20130520,1.18,1.18,1.15,1.15,2200
ABCO,20130520,49.68,50.43,49.61,50.35,282100
ABFS,20130520,17.39,17.9,17.36,17.74,419200
ABIO,20130520,2.56,2.56,2.3,2.34,73900
ABMD,20130520,23.31,23.4,23.02,23.11,379300
ABTL,20130520,4.19,4.22,4.11,4.21,28900
ACAD,20130520,13.46,14.75,13.4,14.15,6849800
ACAS,20130520,14.2,14.48,14.19,14.45,2813700
ACAT,20130520,46.9,47.11,46.73,46.89,135200
ACCL,20130520,8.61,8.77,8.61,8.72,115400
ACET,20130520,11.54,12.08,11.5,11.86,243400
ACFC,20130520,5.4,5.4,5.25,5.35,11300
ACFN,20130520,8.18,8.18,7.86,7.94,72900
ACGL,20130520,53.3,53.69,53.29,53.43,533000
ACHC,20130520,34.33,34.41,32.61,32.97,298100
ACHN,20130520,7.71,7.83,7.54,7.55,707900
ACIW,20130520,45.02,45.53,44.96,45.15,170400
ACLS,20130520,1.47,1.6,1.46,1.53,1670200
ACNB,20130520,16.54,16.91,16.5,16.91,3700
ACOR,20130520,32.92,33.19,32.07,32.16,419100
ACPW,20130520,4.26,4.47,4.2,4.44,81500
ACRX,20130520,6.65,6.93,6.44,6.46,451400
ACST,20130520,2.61,2.61,2.61,2.61,1400
ACTG,20130520,23.62,24.75,23.5,24.56,676200
ACTS,20130520,2.98,3.08,2.98,3.05,120100
ACUR,20130520,2.38,2.48,2.34,2.4,830300
ACWI,20130520,53.77,54,53.72,53.91,626100
ACWX,20130520,44.92,45.24,44.92,45.22,102000
