name,1w,2w,1m,3m
LIFE,0.012,-0.000424242424239,-0.0112556390977,0.309986385107
BOCH,-0.006,-0.00363636363636,0.000165413533835,-0.00111419838844
VTHR,0.216,0.255636363636,0.252563909774,0.0937691025285
FLOW,0.048,0.0344848484848,0.0185413533835,0.000960266740761
GTIV,-0.183,-0.128242424242,-0.00266917293233,-0.0275201444846
SGMO,-0.213,0.00666666666667,-0.133616541353,-0.0132697971659
GTIM,-0.01,-0.00987878787879,-0.00697744360902,0.00429008057794
ORMP,0.346,0.0478181818182,0.0207443609023,-0.00470408446791
ERIE,0.121,0.218666666667,0.220488721805,0.151644901361
ERIC,-0.15,-0.0626060606061,0.0120977443609,-0.0103150875243
CTAS,0.183,0.0878181818182,0.0534887218045,0.0282709085857
PFPT,0.03,0.0846060606061,0.0258120300752,0.0731883856627
VRTA,0.165,0.0535151515152,0.0177669172932,0
VRTB,0.092,0.0309696969697,0.0062030075188,-0.00094220616838
SCLN,-0.045,0.0253939393939,0.0154736842105,0.00183078632954
SPU,-0.058,0.0174545454545,0.0066015037594,-0.00532425673798
TINY,0.024,0.00624242424242,-0.000744360902256,-0.00950986385107
PHMD,0.231,0.0934545454545,-0.00984210526316,0.0133195332037
PTNR,-0.042,-0.0904242424242,-0.0164135338346,0.0256268407891
PTNT,-0.017,-0.00351515151515,0.00203007518797,-0.00491942206168
BSDM,0.003,-0.002,0.00124812030075,-0.00611003056405
ALNY,-0.159,0.415939393939,0.258714285714,0.0268327313143
VRTS,3.23,4.40878787879,3.58101503759,0.878904695749
VRTU,0.216,0.360303030303,0.23277443609,0.0367527090859
OPAY,0.016,0.129818181818,0.0587293233083,0.00339483189775
ENDP,0.088,-0.486303030303,-0.189812030075,0.120181439289
GT,0.475,0.201515151515,0.0953157894737,0.000485412614615
MEIL,-0.028,-0.012303030303,-0.0197894736842,0
CBLI,0.008,-0.024,-0.0167142857143,0.00176243400945
TBOW,-0.075,-0.0341818181818,-0.0225714285714,-0.00414670741873
MLNK,-0.019,-0.00472727272727,0.00381203007519,-0.00663628785774
MNKD,0.122,0.170545454545,0.0771654135338,0.0340455682134
GLUXR,-0.033,0,0,0
