name,1w,2w,1m,3m
LIFE,0.255,0.0970909090909,0.24362406015,0.144454015004
BOCH,-0.011,-0.000242424242424,0.00316541353383,0.0102545151431
VTHR,0.133,0.0310909090909,0.0493984962406,0.0882117254793
FLOW,0.088,0.0555757575758,-0.00206766917293,-0.00470491803279
GTIV,-0.276,-0.203757575758,-0.0190526315789,0.0329030286191
SGMO,0.023,0.0191515151515,-0.0497218045113,0.0312350652959
GTIM,0.009,1.60659241184e-16,-0.00303759398496,0.000849958321756
ORMP,0.048,-0.000424242424242,-0.0294511278195,0
ERIE,-0.136,-0.0559393939394,0.112947368421,0.114431786607
ERIC,-0.007,-0.0314545454545,-0.0129398496241,0.051944984718
CTAS,0.25,-0.169636363636,-0.0249323308271,0.0389574881912
PFPT,0.028,0.0207878787879,0.164458646617,0.0692256182273
VRTA,0.006,0.00793939393939,-0.000962406015038,0
VRTB,-0.028,-0.0128484848485,0.00444360902256,0
SCLN,0.005,-0.0139393939394,-0.00709022556391,-0.00587941094749
SPU,0.014,0.00969696969697,-0.0183383458647,-0.00317866073909
TINY,-0.038,-0.00581818181818,-0.00541353383459,-0.000790497360378
PHMD,-0.036,0.0108484848485,0.0880827067669,0.0235237565991
PTNR,-0.019,0.0089696969697,0.0438571428571,0.00231647679911
PTNT,-0.047,-0.025696969697,-0.00912030075188,0.00307196443457
BSDM,0.017,0.00151515151515,0.0052030075188,-0.00402695193109
ALNY,0.089,-0.0689696969697,-0.073,0.0623598221728
VRTS,-0.016,0.375151515152,0.491496240601,1.11878132815
VRTU,0.133,-0.0658181818182,0.125248120301,0.137595165324
OPAY,-0.018,0.000848484848485,-0.00288721804511,-0.00652736871353
ENDP,0.029,0.0458787878788,-0.0224661654135,0.0813553764935
GT,-0.07,-0.105757575758,-0.0143157894737,-0.0236854681856
MEIL,-0.001,-0.0124242424242,-0.0228646616541,0
CBLI,-0.018,0.0249696969697,0.0294060150376,0.00533537093637
TBOW,-0.006,-0.00163636363636,-0.000691729323308,0.00213003612114
MLNK,-0.057,-0.0174545454545,0.0162706766917,0.00729202556266
MNKD,0.042,0.0114545454545,0.0331654135338,0.0169369269241
OSBCP,0.018,0.0213939393939,-0.00251879699248,0
RDWR,0.0125,-0.0504242424242,-0.00464661654135,0.0337547929981
MEIP,0.191,0.0509090909091,0.00330827067669,0.0387335370936
GLADP,-0.012,-0.024,-0.018984962406,0
GK,0.16,0.0695757575758,0.199729323308,0.183260072242
REMY,0.043,-0.0445454545455,-0.0476766917293,0
MAT,0.029,0.230424242424,0.158030075188,0.124278688525
AMCX,-0.036,0.179818181818,0.271751879699,0.149467907752
EBMT,0.039,0.0384848484848,0.0256541353383,0
XRAY,0.142,0.0309090909091,-0.0182857142857,0.0285987774382
AMCN,0.001,-0.00824242424242,-0.0222481203008,-0.00939094192831
ACLS,0.013,-0.00175757575758,0.00810526315789,-0.003772436788
MAG,0.094,0.230181818182,0.132323308271,0
AMCF,0.005,0.0166060606061,-0.00777443609023,0.0021303139761
AMCC,-0.06,-0.0684242424242,-0.035962406015,-0.0271475409836
JBSS,0.000999999999998,0.0505454545455,0.0460751879699,0.00471603223118
ERII,-0.074,-0.0118181818182,-0.0472105263158,0.00790358432898
TOPS,0.035,0.0394545454545,0.0294060150376,0
RLJE,0.022,0.00751515151515,0.0245187969925,0
BSRR,-0.055,-0.0186666666667,0.00738345864662,0.0212220061128
CRTX,-0.046,-0.0136363636364,0.021962406015,0.0403728813559
DSWL,0.006,-0.00212121212121,0.000172932330827,0.000464017782717
ICUI,0.016,0.0419393939394,0.0621804511278,-0.0758935815504
IDCC,-0.082,0.10103030303,-0.0299172932331,0.0671658794109
AQUUU,0.01,0.004,0,0
GHDX,0.366,-0.0175757575758,-0.0853609022556,-0.0122925812726
TTS,-0.03,0.0407272727273,0.23969924812,0.0648007779939
SPBC,-0.033,-0.0192727272727,0.0294962406015,0
BIRT,0.025,-0.00490909090909,-0.0356165413534,0.0113159210892
LSI,0.003,-0.012,-0.0136766917293,-0.0107874409558
WWWW,-0.154,0.0550909090909,-0.0154135338346,0.0305782161712
WSBF,-0.057,-0.019696969697,0.0272706766917,0.0163712142262
WSBC,-0.126,-0.0930303030303,0.00725563909774,0.0349510975271
PFIN,-0.067,-0.0647878787879,0.0335263157895,0.00208113364824
USLM,-0.081,-0.0606666666667,-0.0120977443609,0.157332314532
CEVA,-0.081,-0.0356363636364,0.0235639097744,-0.0309360933593
TMNG,-0.017,-0.00412121212121,-0.0154210526316,0
BBOX,-0.421,-0.290848484848,-0.0524661654135,-0.034772714643
CPRX,-0.011,-0.00248484848485,0.00173684210526,-0.00101278132815
CPRT,-0.06,-0.047696969697,0.0884661654135,0.0428819116421
SLRC,-0.099,-0.0829090909091,-0.053030075188,-0.0165495971103
WPCS,-4.36473860273e-17,-0.00193939393939,0.00132330827068,0
OIIM,0.012,-0.00460606060606,-0.0069022556391,0.000812447902195
DYAX,0.032,0.0385454545455,0.0271578947368,0.0172147818839
LPSN,-0.13,-0.0601212121212,-0.0542932330827,0.00883939983329
AVHI,0.09,-0.067696969697,-0.130406015038,-0.015944984718
LPSB,0.009,-0.0247878787879,0.022962406015,0
ABMD,0.105,0.146484848485,0.116954887218,0.109378994165
ETRM,-0.002,0.0119393939394,0.00551127819549,-0.0408163378716
SYPR,-0.007,0.0124848484848,-0.00492481203008,0.0028855237566
WEBK,-0.027,0.00490909090909,0.0295112781955,0
GCFB,0.016,-0.00133333333333,0.003,0
SPPI,-0.001,0.014,-0.299894736842,-0.0850736315643
WEBM,0.021,-0.00121212121212,-0.00427819548872,0
CWEI,-0.119,-0.14096969697,0.442676691729,0.0229408168936
PBMD,-0.066,-0.0337575757576,-0.0203007518797,0
RAVN,-0.048,0.221878787879,0.306060150376,0.11055237566
LBAI,-0.028,-0.00630303030303,0.000774436090225,-0.00419727702139
IFAS,-0.013,0.0906060606061,0.0216917293233,0.0264490136149
CCBG,-0.105,0.0561818181818,0.0194736842105,0.00544290080578
VRTX,0.011,0.386242424242,0.310834586466,0.133670464018
WHF,-0.016,-0.00272727272727,0.0126691729323,0.0136246179494
MOBI,-0.004,-0.0233939393939,-0.0243458646617,-0.00243817727146
DEST,-0.025,0.0107878787879,0.0683909774436,0.0182436787997
VSEC,0.015,0.0902424242424,0.156939849624,-0.0179146985274
ARTW,0.003,0.00333333333333,-0.00502255639098,-0.00854904140039
KTOS,-0.017,0.00969696969697,0.0557744360902,-0.00113698249514
ARTX,0.008,-0.00242424242424,0.00193984962406,0.00375743262017
NAVG,0.075,0.202545454545,0.0992330827068,0.0961761600445
MMLP,0.312,0.370606060606,0.197090225564,0.0722789663796
ARTC,-0.059,-0.0849090909091,-0.0786917293233,-0.0233759377605
TASR,-0.089,-0.0109090909091,0.00266165413534,-0.0313642678522
TAST,0.042,-0.0175757575758,-0.00942105263158,-0.0202925812726
FCLF,0.054,0.0764848484848,0.0143909774436,0
GOODP,0.013,-0.216666666667,-0.00925563909774,0
ATEA,0.186,0.069696969697,0.0348270676692,0
ATEC,-0.039,-0.0191515151515,0.0076992481203,0.0096882467352
EVBS,-0.463,-0.056303030303,-0.00838345864662,0.024331203112
DOVR,-0.03,-0.0172121212121,-0.0101954887218,0.00526674076132
NPSP,0.042,0.0688484848485,0.132218045113,0.00501444845791
GOODN,0.031,-0.0690909090909,-0.0149248120301,0
GOODO,-0.04,0.0271515151515,0.0209097744361,0
NTAP,0.259,-0.0179393939394,-0.0312105263158,-0.00603667685468
ZBRA,0.218,0.0407272727273,0.102030075188,0.101592386774
ICGE,-0.149,-0.100666666667,-0.0507819548872,0.0300261183662
IRDMZ,-0.011,-0.0134545454545,0,0
EDS,-0.05,-0.0149696969697,-0.00668421052632,-0.000774937482634
PDII,-0.19,-0.078,-0.103503759398,-0.0275696026674
KIOR,-0.138,-0.138909090909,-0.0505563909774,-0.0248088357877
EVEP,0.068,0.282787878788,0.0914060150376,-0.147964434565
