name,1w,2w,1m,3m
LIFE,-0.126,0.167090909091,0.359293233083,0
BOCH,0.013,-0.0029696969697,0.00987969924812,0
VTHR,-0.068,-0.0439393939394,0.121142857143,0
FLOW,0.05,0.0152727272727,-0.0222556390977,0
GTIV,-0.173,-0.0438787878788,0.0925639097744,0
SGMO,0.052,0.0109696969697,-0.0416842105263,0
GTIM,-0.026,-0.00690909090909,0.000127819548872,0
ORMP,-9.0691548219e-16,-0.0050303030303,-0.0265639097744,0
ERIE,-0.278,0.133575757576,0.159097744361,0
ERIC,-0.066,-0.072,0.0238796992481,0
CTAS,-0.621,-0.162,0.0186992481203,0
PFPT,-0.049,0.184,0.176563909774,0
VRTA,0.006,0.00793939393939,-0.000962406015038,0
VRTB,-0.001,-0.0115757575758,0.0106466165414,0
SCLN,-0.029,-0.0176363636364,-0.000563909774436,0
SPU,0.012,-0.0509696969697,-0.0193082706767,0
TINY,0.019,-0.00806060606061,0.00276691729323,0
PHMD,-0.023,0.0712121212121,0.0989323308271,0
PTNR,0.016,0.0495757575758,0.0411954887218,0
PTNT,-0.03,-0.0213939393939,0.000458646616541,0
BSDM,0.003,-0.00636363636364,0.00842105263158,0
ALNY,-0.123,-0.149090909091,0.00257142857143,0
VRTS,0.921,-0.364848484848,1.01203759398,0
VRTU,-0.209,0.135818181818,0.185030075188,0
OPAY,0.025,0.00890909090909,-0.00328571428571,0
ENDP,0.106,-0.0352121212121,0.000691729323308,0
GT,-0.183,-0.0673939393939,0.0163233082707,0
MEIL,-0.022,-0.0113939393939,-0.0374962406015,0
CBLI,0.083,0.0595757575758,0.023015037594,0
TBOW,0.005,-0.00187878787879,0.00177443609023,0
MLNK,-0.005,-0.006,0.0300751879699,0
MNKD,0.002,-0.0289090909091,0.0544060150376,0
OSBCP,0.016,0.0389090909091,-0.0195413533835,0
RDWR,-0.0675,-0.0310303030303,0.0446616541353,0
MEIP,-0.033,-0.00539393939394,0.031015037594,0
GLADP,-0.081,-0.0160606060606,-0.00110526315789,0
GK,-0.004,0.29896969697,0.201082706767,0
REMY,-0.041,-0.109696969697,-0.0488796992481,0
MAT,0.434,0.171151515152,0.141939849624,0
AMCX,0.295,0.303272727273,0.304819548872,0
EBMT,0.034,0.0255151515152,0.0137293233083,0
XRAY,-0.088,-0.108484848485,0.0368496240602,0
AMCN,-0.021,-0.025696969697,-0.0197894736842,0
ACLS,-0.002,0.00593939393939,0.0044962406015,0
MAG,0.311,0.228060606061,0.0245338345865,0
AMCF,0.01,-0.00975757575758,-0.0142105263158,0
AMCC,-0.076,-0.0741212121212,-0.00641353383459,0
JBSS,-0.004,0.0139393939394,0.0564887218045,0
ERII,0.062,-0.00406060606061,-0.0525939849624,0
TOPS,0.063,0.0510303030303,0.013030075188,0
RLJE,0.013,-0.036303030303,0.042969924812,0
BSRR,-0.033,0.000121212121212,0.0356766917293,0
CRTX,-3.90668848361e-16,0.0347878787879,0.0363909774436,0
DSWL,-0.026,-0.00424242424242,-0.000360902255639,0
ICUI,0.023,-0.0483636363636,0.14645112782,0
IDCC,0.115,-0.0629696969697,0.0707593984962,0
AQUUU,0.01,0.004,0,0
GHDX,-0.281,-0.254606060606,-0.0734511278195,0
TTS,0.217,0.400121212121,0.245819548872,0
SPBC,-0.151,-0.0397575757576,0.022045112782,0
BIRT,-0.037,-0.0693939393939,-0.0193533834586,0
LSI,-0.055,-0.0478181818182,-0.0125263157895,0
WWWW,0.244,0.0206666666667,-0.0166842105263,0
WSBF,-0.002,0.0396363636364,0.0502406015038,0
WSBC,-0.138,0.00230303030303,0.0610902255639,0
PFIN,0.004,0.0390303030303,0.0807293233083,0
USLM,0.076,-0.0302424242424,0.0760902255639,0
CEVA,0.003,-0.0173939393939,0.0529097744361,0
TMNG,0.002,-0.0104242424242,-0.0151729323308,0
BBOX,-0.248,-0.0169090909091,-0.0132706766917,0
CPRX,-0.002,-0.00509090909091,0.00396992481203,0
CPRT,-0.159,0.110787878788,0.014030075188,0
SLRC,0.003,-0.145575757576,-0.0350751879699,0
WPCS,-0.01,6.06060606061e-05,0.00281203007519,0
OIIM,-0.004,-0.0106060606061,-0.00396992481203,0
DYAX,0.035,0.0193333333333,0.0501804511278,0
LPSN,-0.004,-0.00515151515152,-0.04,0
AVHI,-0.041,-0.208545454545,-0.0967443609023,0
LPSB,-0.031,0.0115151515152,0.0299022556391,0
ABMD,0.091,0.00775757575758,0.121676691729,0
ETRM,0.02,0.00357575757576,0.00655639097744,0
SYPR,-0.016,0.00787878787879,-0.00824060150376,0
WEBK,0.038,0.0215757575758,0.0306090225564,0
GCFB,-0.023,-0.0154545454545,0.00851127819549,0
SPPI,0.009,-0.35103030303,-0.30822556391,0
WEBM,-0.013,-0.00630303030303,-0.0107669172932,0
CWEI,-0.168,0.248909090909,0.402060150376,0
PBMD,0.037,-0.00381818181818,-0.0105187969925,0
RAVN,0.319,0.284060606061,0.301872180451,0
LBAI,0.006,-0.00672727272727,0.0133458646617,0
IFAS,0.08,-0.03,0.0274661654135,0
CCBG,0.135,0.0594545454545,0.0367518796992,0
VRTX,0.598,0.131696969697,0.444533834586,0
WHF,0.008,0.00387878787879,0.0267368421053,0
MOBI,-0.023,-0.00418181818182,-0.0242781954887,0
DEST,0.013,0.0184848484848,0.0836090225564,0
VSEC,0.116,0.169818181818,0.143052631579,0
ARTW,-0.006,-0.0248484848485,-0.0198947368421,0
KTOS,0.022,0.0979393939394,0.0516766917293,0
ARTX,-0.012,-0.00715151515152,0.00499248120301,0
NAVG,0.155,0.141636363636,0.0778345864662,0
MMLP,0.419,0.19696969697,0.141466165414,0
ARTC,-0.095,-0.139575757576,-0.00630827067669,0
TASR,0.039,0.0350303030303,0.0398195488722,0
TAST,-0.061,-0.018,-0.0220676691729,0
FCLF,0.134,-0.0173939393939,0.0222255639098,0
GOODP,-0.038,-0.149878787879,0.0322631578947,0
ATEA,0.001,0.0180606060606,0.0193684210526,0
ATEC,-0.003,0.00139393939394,0.029045112782,0
EVBS,0.314,0.0607272727273,0.0125714285714,0
DOVR,-0.005,-0.00145454545455,-0.00513533834586,0
NPSP,0.021,0.203454545455,0.130165413534,0
GOODN,-0.171,-0.0426666666667,0.00459398496241,0
GOODO,0.118,0.00624242424242,0.0232857142857,0
NTAP,-0.213,-0.102606060606,-0.0156466165414,0
ZBRA,-0.152,0.0155757575758,0.108210526316,0
ICGE,-0.06,-0.0343636363636,-0.0118646616541,0
IRDMZ,0.012,-0.0101818181818,0,0
EDS,-0.004,-0.00412121212121,-0.00514285714286,0
PDII,-0.017,-0.115575757576,-0.0775939849624,0
KIOR,-0.143,-0.106303030303,-0.00225563909774,0
EVEP,0.522,0.192787878788,-0.129676691729,0
BODY,0.17,0.0979393939394,0.0885563909774,0
PSEC,0.019,-0.0146666666667,0.00342857142857,0
VXUS,-0.074,-0.0776363636364,0.0173984962406,0
FARM,0.093,-0.0362424242424,0.0302932330827,0
FARO,-0.204,-0.238303030303,0.159947368421,0
ARCC,0.01,-0.0567878787879,-0.0336315789474,0
PSEM,-0.046,-0.00460606060606,0.0123909774436,0
SIFI,0.066,0.0295151515152,0.0347368421053,0
FCBC,0.082,0.0200606060606,0.0246240601504,0
GBLI,0.014,0.0313939393939,-0.00418045112782,0
COHR,-0.185,-0.332666666667,-0.0863909774436,0
FSYS,0.23,0.112848484848,0.237323308271,0
ABAX,0.091,0.0526666666667,0.29684962406,0
COHU,0.017,-0.0243636363636,-0.0331804511278,0
PTSX,-0.014,-0.000606060606061,0.0071954887218,0
OSUR,-0.052,-0.0193939393939,0.0103157894737,0
PLBC,-0.09,-0.0158787878788,0.0134812030075,0
IRIX,0.013,-0.0369696969697,-0.0160977443609,0
TKMR,0.065,0.038303030303,0.00877443609023,0
ARCI,-0.001,-0.00351515151515,-0.00624060150376,0
PTSI,-0.127,-0.0149696969697,0.0482932330827,0
MNDO,-0.005,-0.0368484848485,-0.0168120300752,0
ALGN,0.119,-0.0621818181818,0.0804060150376,0
IIN,-0.051,0.0129090909091,-0.0202781954887,0
III,0.039,0.0213333333333,0.0334360902256,0
CFBK,0.014,-0.00115151515152,-0.00137593984962,0
CNTF,-0.015,-0.012,-0.0116165413534,0
FORM,-0.002,-0.025696969697,-0.0135338345865,0
NTWK,0.094,0.169696969697,0.0260751879699,0
