name,1w,2w,1m,3m
LIFE,0.036,0.00648484848485,-0.00940601503759,0.301915254237
BOCH,-0.022,-0.00569696969697,-0.00102255639098,-0.00138010558488
VTHR,0.169,0.254303030303,0.244984962406,0.0963556543484
FLOW,0.021,0.0290303030303,0.0200676691729,0.00159627674354
GTIV,-0.079,-0.137151515152,-0.0115413533835,-0.0296262850792
SGMO,-0.176,-0.0532121212121,-0.130939849624,-0.0172161711587
GTIM,0.007,-0.00163636363636,-0.00805263157895,0.0040572381217
ORMP,0.556,0.127393939394,0.0247218045113,-0.00147568769103
ERIE,-0.309,0.148666666667,0.192894736842,0.15031258683
ERIC,-0.14,-0.0722424242424,-0.0023007518797,-0.0114326201723
CTAS,0.111,0.114909090909,0.0586616541353,0.0281411503195
PFPT,0.106,0.138363636364,0.0259172932331,0.071972492359
VRTA,0.162,0.0734545454545,0.0242330827068,0
VRTB,0.11,0.047696969697,0.0119172932331,-2.41733814948e-05
SCLN,-0.05,0.0187272727273,0.0146090225564,0.00172158933037
SPU,-0.077,0.0104242424242,0.00713533834586,-0.00497165879411
TINY,0.029,0.0131515151515,-0.000578947368421,-0.00944901361489
PHMD,0.195,0.122606060606,-0.00429323308271,0.0132717421506
PTNR,-0.062,-0.0887272727273,-0.0233082706767,0.0240600166713
PTNT,-0.007,-0.00933333333333,0.000857142857143,-0.00506251736593
BSDM,0.004,0.00193939393939,0.000533834586466,-0.00622534037233
ALNY,0.007,0.35696969697,0.283105263158,0.0312317310364
VRTS,1.045,3.7996969697,3.67936090226,0.910873853848
VRTU,0.176,0.354727272727,0.252248120301,0.0374167824396
OPAY,-0.012,0.113333333333,0.0613984962406,0.0046310086135
ENDP,0.154,-0.316424242424,-0.205353383459,0.115882467352
GT,0.364,0.253333333333,0.10992481203,0.00408696860239
MEIL,-0.049,-0.0193333333333,-0.0207593984962,-0.00929369269241
CBLI,0.001,-0.0159393939394,-0.0154812030075,0.00116476799111
TBOW,-0.064,-0.0413939393939,-0.0262481203008,-0.0047696582384
MLNK,-0.028,-0.0130909090909,0.00422556390977,-0.00723534315088
MNKD,0.061,0.166787878788,0.0863383458647,0.0347440955821
GLUXR,-0.123,0,0,0
OSBCP,0.097,0.0184242424242,0.0702180451128,0.0271328146707
RDWR,-0.012,0.0315757575758,0.0705639097744,-0.0887153375938
MEIP,-0.189,-0.0119393939394,0.00124060150376,0.0184020561267
GLADP,-0.024,-0.00569696969697,0.00678195488722,-0.00338121700472
GK,0.24,0.0638181818182,0.16137593985,0.0888846901917
REMY,0.002,0.026303030303,0.0368195488722,-0.0151736593498
